1. marirui  [ouroboros god]    [セガ安城@愛知県@東海] Score: 1612000000 
803. NYUDORA  [I love "MERLIN"]    [セガ安城@愛知県@東海] Score: 1146625256 
804. DBB_HTC  [I love "東方不死鳥"]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1146409257 
805. YAIBA  [不可能へ挑戦する者]    [セガららぽーとＴＯＫＹＯＢＡＹ@千葉県@関東] Score: 1145785029 
806. 23V-Bel  [第五ノ封印ヲ解放セシ者]    [Ｈｅｙ@東京都@関東] Score: 1145688550 
807. 273  [村人A]    [セガワールド大森@東京都@関東] Score: 1145617247 
808. LDT-Cus  [LINK MASTER]    [TOM'S(YILAN MINSHENG)@Taiwan@海外] Score: 1145319126 
809. csmS2000  [Burst GOD]    [プレイロットジョイ@東京都@関東] Score: 1144490834 
810. MODOKI  [第四ノ封印ヲ解放セシ者]    [VIRTUALAND(NEX)@Singapore@海外] Score: 1143974116 
811. DOSAN*  [初PERFECT]    [ラウンドワン川崎大師店@神奈川県@関東] Score: 1143666692 
812. Re:Clear  [世界の傍観者]    [タイトーステーション町田店@東京都@関東] Score: 1142079699 
813. NYANYA  [大金持ち]    [マックスプラザ善通寺@香川県@四国] Score: 1141618261 
814. Z*  [風林火山]    [タイトーステーション秋葉原店@東京都@関東] Score: 1141023810 
815. KNN&nyn  [Keep the Fujin]    [プラボ宇都宮店@栃木県@関東] Score: 1140242418 
816. ACHAKURA  [I love IA 2016]    [ソユーゲームフィールド堺鉄砲町@大阪府@近畿] Score: 1140112423 
817. Jindai  [God hive of Ra]    [タイトーイン綾瀬@東京都@関東] Score: 1140024439 
818. URYU  [全都道府県グルメ完食]    [タイトーステーション和光店@埼玉県@関東] Score: 1139082134 
819. OCHA  [駆け出し]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1138984313 
820. URX-OD.Z  [旅人]    [アピナ橋本店@神奈川県@関東] Score: 1138018762 
821. asa  [3EX]    [ｎａｍｃｏ中野店@東京都@関東] Score: 1137759024 
822. Un<hiKng  [クロビってる？]    [タイトー小田原シティーモール店@神奈川県@関東] Score: 1137337794 
823. VIRGO  [SUPER STAR]    [セガ小名浜@福島県@東北] Score: 1137277345 
824. TAKE  [magnet god]    [ＡＭフィールド・バイヨン@埼玉県@関東] Score: 1137213455 
825. EDAMAME  [Satisfiction God]    [タイトー旭サンモール店@千葉県@関東] Score: 1137048065 
826. TenCha  [わんこそば]    [ゲームランド盛岡店@岩手県@東北] Score: 1136550635 
827. JACK*  [第四回天下一チャレンジャー]    [ラウンドワン広島店@広島県@中国] Score: 1136468717 
828. LEGACY  [Don't stop funky music!]    [ゲームパニックつくば@茨城県@関東] Score: 1135654801 
829. muku  [Extra King]    [タイトーＦステーション博多店@福岡県@九州] Score: 1134837589 
830. mow*2  [Are you ready?]    [STARMU GAME CENTER@Korea@海外] Score: 1134685602 
831. Rotter.  [God hive of Ra]    [タイトーステーション立川北口店@東京都@関東] Score: 1133834518 
832. Lilium.L  [うー！がぉー！]    [ＣＬＵＢＳＥＧＡ自由ヶ丘@東京都@関東] Score: 1132427480 
833. momonoke  [りんご]    [タイトー札幌狸小路２丁目店@北海道@北海道] Score: 1132405762 
834. DC  [ペガサス]    [タイトーステーション和光店@埼玉県@関東] Score: 1131408047 
835. TOEN  [HUNGRY GLUTTONS]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1130621880 
836. BOLUX  [ブローン自走要塞]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1130327923 
837. banal  [ニャスニャス！]    [上越レジャーランボウル@新潟県@信越] Score: 1129031056 
838. ALPATROS  [七福神]    [プラサカプコン横須賀店@神奈川県@関東] Score: 1128962310 
839. SAY-YEAH  [どんつくどんつくどんつくどんつく]    [タイトー新宿南口ゲームワールド@東京都@関東] Score: 1128860916 
840. +HiRO+  [神々が恋した先生]    [タイトー新宿南口ゲームワールド@東京都@関東] Score: 1128707373 
841. Taku_N.  [God hive of Ra]    [ユーファクトリー安城店@愛知県@東海] Score: 1127702537 
842. alhime  [magician king]    [ラウンドワン宝塚店@兵庫県@近畿] Score: 1127450141 
843. Ohyang  [宮城勢]    [カレッジ・スクエア@山形県@東北] Score: 1126483777 
844. subtle_k  [GOLDEN RIVER]    [タイトーステーション池袋西口店@東京都@関東] Score: 1126149997 
845. HALKEN  [I love 燦]    [TOM'S WORLD(MING YAO)@Taiwan@海外] Score: 1126094254 
846. FeeT  [I love "バーニングフォースメドレー"]    [ソユーゲームフィールド新発田店@新潟県@信越] Score: 1125982123 
847. Re.Vive*  [Satisfiction God]    [セガ松本@長野県@信越] Score: 1125730327 
848. taku  [わぁい先生大好き]    [シルクハット川崎ダイス@神奈川県@関東] Score: 1125282482 
849. Chocola  [バーニングフォースゴッド]    [タイトーステーション立川北口店@東京都@関東] Score: 1124948723 
850. *SHEEP*  [十二宗家]    [ナムコランドＨＣ名古屋店@愛知県@東海] Score: 1124943077 
851. ZU  [クラーケン]    [ラウンドワン名古屋西春店@愛知県@東海] Score: 1124516443 
852. exit.  [踊ってみたら七変化！]    [ジョイランド江守店@福井県@北陸] Score: 1124410432 
853. G8.inc  [練習中]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1122860376 
854. KANO_8  [ちゅるり神]    [タイトーステーション立川北口店@東京都@関東] Score: 1122619812 
855. mkt  [BIG STAR]    [ゲームプラザ　ミッキー@愛知県@東海] Score: 1122421536 
856. YAYOI  [長崎勢]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1121755957 
857. TATAZUN  [山口勢]    [ｎａｍｃｏフジグラン宇部店@山口県@中国] Score: 1121078830 
858. IM  [私のことは殿下と呼びたまえ！]    [ゲームプラザセントラル浦安店@千葉県@関東] Score: 1120258657 
859. EZ2ON  [S+級ネギトロ]    [MOFUN SEOUL@Korea@海外] Score: 1119721380 
860. KiS@Me  [Chaos God]    [ＳＥＧＡＡＲＥＮＡ中間@福岡県@九州] Score: 1119652812 
861. AXue  [GROOVER]    [TOM'S(TAIPEI JINWANNIAN)@Taiwan@海外] Score: 1117849127 
862. Tutinoko  [七福神]    [タイトーステーション所沢店@埼玉県@関東] Score: 1117313310 
863. SRH  [I love "議論 -HEAT UP-"]    [TOM'S(KAOHSIUNG LIUHE)@Taiwan@海外] Score: 1116780787 
864. FUKUOKA3  [Fess up神]    [セガ我孫子@千葉県@関東] Score: 1116487611 
865. HAYASHI  [神奈川勢]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1115974670 
866. *P*R*P*  [夢に向かって飛び立て！]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1115873676 
867. CANBIN  [magnet master]    [タイトーステーション池袋西口店@東京都@関東] Score: 1114172285 
868. NANAMI  [I love "The world of spirit"]    [ラウンドワン高知店@高知県@四国] Score: 1113847983 
869. pns  [FEVER! FEVER! FEVER!]    [Ｈｅｙ@東京都@関東] Score: 1113174378 
870. Oriens  [NOV, 2017 TOP RANKER]    [ソユーゲームフィールド旭川駅前@北海道@北海道] Score: 1112544324 
871. ELEMENT!  [railgun god]    [AMAZONE(ARTHA GADING)@Indonesia@海外] Score: 1110954484 
872. Kaonori  [アバターマニア]    [ＡＭ　ＣＵＥ奈良大和高田店@奈良県@近畿] Score: 1110945736 
873. KA-NI-EX  [Are you ready?]    [テクモピア南越谷店@埼玉県@関東] Score: 1110885602 
874. Nonnnn**  [無彩色神]    [ｎａｍｃｏシルクドゥガリバー店@新潟県@信越] Score: 1110394036 
875. ZANKURO  [がっかリンカちゃん]    [キャッツアイ新川店@北海道@北海道] Score: 1109933635 
876. Astral  [Z神]    [コムテックスクウェア@愛知県@東海] Score: 1109495109 
877. igohs88  [Scarlet Lance God]    [ｎａｍｃｏ王子サンスクエア店@東京都@関東] Score: 1109363099 
878. NAO(*_*)  [リズム感の神]    [タイトーＦＳセントポルタ大分店@大分県@九州] Score: 1108754754 
879. 8thSHUHO  [あたいったら最強ね！]    [アピナ富山豊田店@富山県@北陸] Score: 1108284931 
880. Keturin@  [壁をすり抜けられる程度の女王]    [ジーフラット姫路東駅前店@兵庫県@近畿] Score: 1107824089 
881. Foxy  [救世主]    [アテナ日本橋@大阪府@近畿] Score: 1107472157 
882. SoLA  [GROOVER]    [ＧＲＥＡ@愛知県@東海] Score: 1107017080 
883. zinchan  [天馬と奏でる音楽家]    [ＡＧスクエア石岡店@茨城県@関東] Score: 1106673217 
884. eden!  [GOD]    [ユーズランド倉敷店@岡山県@中国] Score: 1105324350 
885. ++CaL+/  [Ｓ＋級からあげ]    [アドアーズ狸小路@北海道@北海道] Score: 1103054160 
886. PLeiaDes  [ouroboros god]    [ラウンドワン豊中店@大阪府@近畿] Score: 1101859654 
887. Shivaty  [railgun god]    [ギャラクシーゲート函館@北海道@北海道] Score: 1101740042 
888. Kevin  [I love "蒼空に舞え、墨染の桜"]    [TOM'S(TAIPEI JINWANNIAN)@Taiwan@海外] Score: 1101658178 
889. PON-05  [GROOVER]    [ジョイランド　アミューズ諏訪@静岡県@東海] Score: 1101605043 
890. Fyei  [完璧系女子]    [ラウンドワン池袋店@東京都@関東] Score: 1101525753 
891. Mo  [噂の美少女探偵]    [ラウンドワンアリオ柏店@千葉県@関東] Score: 1100853494 
892. DDR!?  [Sampling Masters]    [ドリームファクトリーいわき店@福島県@東北] Score: 1100305247 
893. sousetsu  [議論神]    [セガ小名浜@福島県@東北] Score: 1099885869 
894. ODGC3EX!  [私のことは殿下と呼びたまえ！]    [TOM'S(TAIPEI JINWANNIAN)@Taiwan@海外] Score: 1099670006 
895. himiya  [ゴーゴー神]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1099323768 
896. KEISUKE  [グルーヴ皆伝]    [アーバンスクエア大須@愛知県@東海] Score: 1099081533 
897. NEIL  [初代☆]    [GAMEZONE(MONG KOK)_h@Hong Kong@海外] Score: 1098883781 
898. ORANGESU  [Black King]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1097930896 
899. Kanon  [「幼女の世界」]    [タイトー海老名ビナウォーク店@神奈川県@関東] Score: 1097921820 
900. gatta  [小さな百鬼夜行]    [カプコサーカス新潟東店@新潟県@信越] Score: 1097311263 
********************************************************************************************
901. NAYU  [TANO*C GOD]    [セガららぽーとＴＯＫＹＯＢＡＹ@千葉県@関東] Score: 1096219297 
902. Admit???  [店内F CLASS]    [GAME TOPIA@Korea@海外] Score: 1094271199 
903. ZOMBIE  [小槌「お前が大きくなあれ」]    [ゲームスポットＳＰＥＥＤ@山口県@中国] Score: 1092820588 
904. Snail  [キャッチ・ザ・ハート]    [セガ水戸@茨城県@関東] Score: 1092654032 
905. RBA@7777  [金色の異端児]    [セガ赤羽@東京都@関東] Score: 1092054628 
906. MATCHAN  [GROOVER]    [ラウンドワン川崎大師店@神奈川県@関東] Score: 1091924412 
907. SYAGE  [どんつくどんつくどんつくどんつく]    [ゲームランド（岡崎）@愛知県@東海] Score: 1090799165 
908. 39COSAV  [S+級長ネギ]    [ｎａｍｃｏ博多バスターミナル店@福岡県@九州] Score: 1090706859 
909. Gemma  [埼玉勢]    [ゲームファンタジアン岡崎店@愛知県@東海] Score: 1089652280 
910. SYUSYOU  [Oh! Jesus!]    [セガ金山@愛知県@東海] Score: 1088512072 
911. today  [宮城勢]    [タイトーステーション町田店@東京都@関東] Score: 1088499855 
912. Alice?  [小夜ちゃん女王]    [タイトーステーション藤沢店@神奈川県@関東] Score: 1087469802 
913. Yufuwin  [ピュアスマイル]    [トライセン中津店@大分県@九州] Score: 1087358588 
914. Akatsuki  [第四ノ封印ヲ解放セシ者]    [YOUNG KEY PARADISE(DATONG)@Taiwan@海外] Score: 1087335898 
915. NOZOMI!  [夢に向かって飛び立て！]    [アミューズメントベネクス川崎店@神奈川県@関東] Score: 1086442344 
916. T-s.1225  [死神]    [COBAY MINES@Malaysia@海外] Score: 1085732525 
917. SUTORES*  [太陽神]    [セガワールド草津@滋賀県@近畿] Score: 1085304578 
918. shimochi  [God noir forever.]    [ＡＭパーク　ネバーランド２@神奈川県@関東] Score: 1084846816 
919. Galatea.  [Ever…]    [ジャムジャム神栖店@茨城県@関東] Score: 1084382235 
920. BAviiiso  [GROOVER]    [ラウンドワン松山店@愛媛県@四国] Score: 1084255734 
921. APO  [白金神]    [ＩＮＴＥＲ　ＰＡＲＫ　＋１@栃木県@関東] Score: 1084065851 
922. Naru  [毘沙門天の弟子]    [ＧＡＭＥ　ＣＥＮＴＥＲアクア店@滋賀県@近畿] Score: 1081788553 
923. KAS  [GAME MUSIC TRIANGLER]    [ｎａｍｃｏフジグラン宇部店@山口県@中国] Score: 1080752204 
924. Yuki  [死欲の半霊]    [アミパラテクノランド店@岡山県@中国] Score: 1078923038 
925. WhiteLen  [ペガサス]    [東京レジャーランド秋葉原店@東京都@関東] Score: 1078846167 
926. MoyaC.  [安全運転?女神]    [ギャラクシーゲート函館@北海道@北海道] Score: 1077447624 
927. Ta@-KO  [Ｓ＋級ラーメン]    [タイトーステーション上野アメ横@東京都@関東] Score: 1077187432 
928. K@NiDON  [WARNING!!]    [新宿プレイランドカーニバル@東京都@関東] Score: 1076780040 
929. shu  [ニンジャヘッズ]    [新宿プレイランドカーニバル@東京都@関東] Score: 1076435201 
930. ZARRY  [神霊「夢想封印 瞬」]    [プラサカプコン新居浜店@愛媛県@四国] Score: 1075749654 
931. #bu  [初PERFECT]    [アミューズメントエース津田沼店@千葉県@関東] Score: 1075284872 
932. Jibri-l*  [九龍神]    [キャッツアイ麻生店@北海道@北海道] Score: 1073501942 
933. REIMU  [例大祭先生]    [アドアーズ大和Ａ館@神奈川県@関東] Score: 1072012148 
934. SAKI  [神霊「夢想封印 瞬」]    [TOM'S WORLD(MING YAO)@Taiwan@海外] Score: 1071936733 
935. Karen  [railgun god]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1071020172 
936. *COCO*  [全都道府県完全制覇]    [ナムコランド広島店@広島県@中国] Score: 1070478418 
937. O8G!?  [わわわわーにん！]    [ディノスパーク帯広店@北海道@北海道] Score: 1069194755 
938. N@  [I love "東方音銃夢"]    [タイトーステーション池袋西口店@東京都@関東] Score: 1069167127 
939. fk  [村人A]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1067540145 
940. MEIRA  [ペガサス]    [アドアーズ藤沢北口@神奈川県@関東] Score: 1067163771 
941. Lexia.  [ワーウルフ]    [セガワールドサントムーン@静岡県@東海] Score: 1066949414 
942. Ciel  [幸福理論大王]    [セガ東京ドームシティ@東京都@関東] Score: 1066555319 
943. A-Y.s9  [カノン ゴッド]    [タイトーあべのアポロ店@大阪府@近畿] Score: 1065673807 
944. Y.  [とんすひ勢]    [タイトーＦステーション燕三条店@新潟県@信越] Score: 1065438949 
945. tinrtgu  [絶望]    [タイトーステーション上野アメ横@東京都@関東] Score: 1065422857 
946. (ELSIE)  [チキンライス]    [ラウンドワン大宮店@埼玉県@関東] Score: 1065393043 
947. C*Crow:S  [Future Coaster God]    [セガ安城@愛知県@東海] Score: 1064738198 
948. AREKU.F  [GREAT]    [立川ゲームオスロー第５店@東京都@関東] Score: 1064000000 
949. TAKANASI  [S級真田幸村]    [ラウンドワン佐賀店@佐賀県@九州] Score: 1063544593 
950. Al  [現実逃避神]    [名古屋レジャーランド大高店@愛知県@東海] Score: 1063273697 
951. Tyrfing  [たのしー！]    [タイトーＢＩＧＢＯＸ高田馬場店@東京都@関東] Score: 1062605936 
952. Elluna  [IRON FOSSIL]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1061816661 
953. AIRIN  [楽園の巫女]    [ｎａｍｃｏ三宮店@兵庫県@近畿] Score: 1059644509 
954. DJGEN115  [ベテラン]    [セガ安城@愛知県@東海] Score: 1059385143 
955. AKATUKI  [幽冥楼閣の亡霊少女]    [セガ東京ドームシティ@東京都@関東] Score: 1058737682 
956. JIS  [悪ノ女王]    [セガ小名浜@福島県@東北] Score: 1058579509 
957. JUNSPEC  [リヴァイアサン]    [タイトーＢＩＧＢＯＸ高田馬場店@東京都@関東] Score: 1057538129 
958. Yorda  [狂乱を、味わえ]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1057160872 
959. Hamilton  [ドーモ、グルーヴァー=サン…]    [セガ秋葉原１号館@東京都@関東] Score: 1056306110 
960. Madras  [GROOVER]    [セガ難波アビオン@大阪府@近畿] Score: 1055798701 
961. TERUMI_K  [I love "Satisfiction (Massive New Krew Remix)"]    [ｎａｍｃｏ梅田店@大阪府@近畿] Score: 1055773781 
962. JLCExCBY  [Get down everybody!]    [AMAZONE(ARTHA GADING)@Indonesia@海外] Score: 1055704555 
963. (>w<)/  [V.I.P神]    [ゲームディーノ彦根店@滋賀県@近畿] Score: 1055668036 
964. Bump  [I love "天体観測"]    [キャッツアイ麻生店@北海道@北海道] Score: 1055376862 
965. NEXUS  [ダイオウ松]    [セガ赤羽@東京都@関東] Score: 1055021066 
966. YU-KYAN  [帝]    [セガ代々木@東京都@関東] Score: 1054903773 
967. COASTER  [初代スコアタ騎士]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1053550733 
968. Kaze!?  [清らかな女神]    [ラウンドワン守口店@大阪府@近畿] Score: 1052551289 
969. S.Osiris  [G.O.D]    [セガ秋葉原１号館@東京都@関東] Score: 1051800928 
970. TAKE-W.O  [キャッチ・ザ・ハート]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1050846315 
971. Radait  [私のことは殿下と呼びたまえ！]    [Ｇ－ｓｔａｇｅ飯塚店@福岡県@九州] Score: 1050592558 
972. TeRA  [UFO-CO神]    [遊スペース　マジカル@兵庫県@近畿] Score: 1050572188 
973. skkn  [わわわわーにん！]    [ラウンドワン南砂店@東京都@関東] Score: 1050209526 
974. K.456  [Collapse God]    [ゲームヴィクト盛岡@岩手県@東北] Score: 1049719129 
975. Minuit  [そんな気分よ女神]    [プレイランドキング七条店@京都府@近畿] Score: 1049363294 
976. Bakkun  [不可能を無にする者]    [ROUND1(PUENTE HILLS)@America@海外] Score: 1049202974 
977. RAK  [光の橋を架けて]    [ＣＬＵＢＳＥＧＡ秋葉原新館@東京都@関東] Score: 1048911678 
978. DJ.NEPU  [わわわわーにん！]    [四日市アミューズメントパーク@三重県@東海] Score: 1047993140 
979. *SOHI***  [ただでさえ天使のミクさん]    [ゲームフェスタミタマ@青森県@東北] Score: 1047719002 
980. moroko@@  [メイド秘技「殺人ドール」]    [TOM'S WORLD(MING YAO)@Taiwan@海外] Score: 1047664033 
981. m_noburi  [お断ユメちゃん！]    [名古屋レジャーランド　内田橋店@愛知県@東海] Score: 1046929085 
982. Blanc-HD  [HARDCORE SYNDROME]    [VIRTUALAND(NEX)@Singapore@海外] Score: 1046244391 
983. OIMO  [金色の異端児]    [セガ竹の塚@東京都@関東] Score: 1045994856 
984. NECO33  [「幼女の世界」]    [ラウンドワン市原店@千葉県@関東] Score: 1045165694 
985. Rk*2B!_K  [小夜ちゃん女神]    [セガ明石@兵庫県@近畿] Score: 1045154889 
986. KaraKure  [散楽祭大王]    [タイトーララスクエア宇都宮店@栃木県@関東] Score: 1044771799 
987. KAZjarku  [Don't stop funky music!]    [プレイロットジョイ@東京都@関東] Score: 1044584805 
988. juno  [UFO-CO大王]    [ARCADE1@Korea@海外] Score: 1044559887 
989. OMKG_!?  [裏切り神]    [ナムコランド広島店@広島県@中国] Score: 1043261933 
990. syatiku  [ルーキー]    [セガワールド大森@東京都@関東] Score: 1041935340 
991. Zombie  [ハイテンションA-POPガール]    [タイトー札幌狸小路２丁目店@北海道@北海道] Score: 1040450699 
992. Coinst  [栃木勢]    [サードプラネットＢｉＶｉ沼津店@静岡県@東海] Score: 1039154747 
993. 0  [キャッチ・ザ・ハート]    [ソユーゲームフィールド御所野店@秋田県@東北] Score: 1038203780 
994. Re-BLACK  [GROOVER]    [タイトーステーション秋葉原店@東京都@関東] Score: 1037701188 
995. BOX  [イェーガー]    [ｎａｍｃｏ博多バスターミナル店@福岡県@九州] Score: 1037693686 
996. CHAOS  [Chaos God]    [プレイロットジョイ@東京都@関東] Score: 1037450292 
997. S.SUZUCA  [二代目超シューティング神]    [神奈川レジャーランド厚木店@神奈川県@関東] Score: 1036474300 
998. soRa  [北海道勢]    [神奈川レジャーランド厚木店@神奈川県@関東] Score: 1036191065 
999. orbit  [ウロボロス]    [ポート２４八事店@愛知県@東海] Score: 1035910872 
1000. ANPANMAN  [Ｓ＋級パン]    [セガワールド入間@埼玉県@関東] Score: 1034870540 
********************************************************************************************
